,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
120,thanks,boyfriend,acquire,brewhouse,oscar,içmicem,playing,diosito
121,lt,thanks,try,nice,nomination,bir,playlist,este
122,eww,steep,absinthe,offering,pp,daha,first,contigo
123,name,drm,explore,help,yale,nargile,january,alabama
124,cuute,imprisoned,haunted,free,41,sleeping,omg,still
125,oh,haha,mansion,charge,lead,day,headed,number
126,god,hard,based,thanks,5,still,back,one
127,showing,5,macbeth,necessary,night,tired,oakland,grandpa
128,picture,month,let,musta,publix,sleep,sf,girlfriend
129,video,feel,someone,left,ca,night,o0,told
130,15,super,influence,door,number,one,brandon,dallas
131,embarrassing,kitchen,choice,open,drove,cheering,foot,cowboy
132,especiall,dining,weekend,smell,mom,last,killing,cheerleader
133,take,cleaned,bitchez,skunk,work,foundation,sitting,yes
134,care,mop,taking,damn,quiznos,game,10,deff
135,rt,floor,making,imma,job,aweh,away,ca
136,cheese,bathroom,ride,dressed,mcdonalds,suck,dawm,n't
137,cake,bedroom,glad,looking,home,gon,cold,waait
138,factory,living,high,wish,hahahaha,na,yes,boo
139,room,would,school,saturday,uhh,trade,staring,zac
140,nice,finish,eww,date,great,sweater,yo,efron
141,straighten,government,name,mi,looking,house,tit,put
142,kno,project,constantly,nena,coming,built,supposed,ring
143,dis,beginning,changing,go,alabama,feel,look,talking
144,dont,charlie,emotion,forgot,still,made,ugly,single
145,live,st,mood,party,team,❤,either,wan
146,omgg,cloud,swing,wow,nike,someone,floor,na
147,da,aaron,sometime,look,got,ridgeoaks,chose,asshole
148,beyond,together,make,played,deff,borrow,well,front
149,funni,miss,dope,shaggy,waait,charger,fun,gon
150,way,well,nap,scoobydoo,boo,drive,paint,wish
151,good,cry,even,creepy,ahahaa,aw,holy,never
152,beer,teary,moving,mind,made,sry,god,guy
153,look,eyed,cuute,remember,upp,boo,damn,reunited
154,en,sh,god,white,talking,shit,mother,5
155,ring,*,showing,want,may,forgot,effing,loong
156,day,playing,picture,someone,swing,new,plot,month
157,favorite,uga,15,play,store,face,twist,arizona
158,spot,many,especiall,battleship,field,damm,lost,stadium
159,duck,show,take,big,tomorrow,withdraws,happen,ripp
160,pon,atl,musical,booty,ya,wtff,nevermind,girl
161,getting,week,dig,hoe,taste,kid,madonna,used
162,shapy,talk,lyric,christmas,mess,bedtime,music,day
163,know,mon,care,ask,day,15,make,overr
164,ai,thing,rt,nah,would,minute,people,bonnie
165,even,mom,cheese,erryday,kick,three,come,serial
166,need,doe,cake,use,someone,wiide,together,killer
167,little,even,factory,pretty,shit,awake,site,'d
168,standing,sad,room,chick,longer,eight,game,held
169,front,end,nice,stuck,going,yet,boy,back
170,kill,alot,straighten,house,date,soo,iphone,wa
171,joy,bored,movie,kid,plex,c,case,leaving
172,lmfao,babe,night,bedtime,grill,notice,2,soon
173,yes,left,know,15,ag,ur,friend,meet
174,problem,stuck,kno,minute,calld,eye,decide,houtout
175,ride,negro,dis,three,meh,doe,sleepover,☆
176,die,watched,dont,wiide,yet,friend,hahaha,alute
177,jus,full,live,awake,pas,blow,message,✌
178,dx,tn,omgg,❤,8,feed,omfg,charlie
179,mn,today,da,mickey,bonnie,21,seriously,st
180,ion,world,beyond,sad,serial,though,jelly,cloud
181,folk,laughing,funni,type,killer,asking,pussy,end
182,u,loud,way,friend,houtout,laughing,hole,say
183,three,fight,good,drop,☆,loud,rt,33
184,whole,literally,beer,plan,alute,back,yumm,1dtv
185,week,everyday,look,break,✌,twitter,eye,akoo
186,wo,home,en,none,rabbit,ii,doe,tv
187,drinking,midway,ring,mine,ask,cant,haunted,mall
188,soda,international,couple,ikr,hang,deal,mansion,court
189,drank,mdw,wipe,rt,shower,boring,spooked,much
190,couple,w,case,congrats,clothes,live,oomf,1d
191,later,43,touch,danny,nvm,withou,pedi,omg
192,started,others,day,monique,catch,y'all,tomo,trivia
193,got,said,favorite,chinese,triplet,jk,know,question
194,beef,alecia,spot,buffet,dalia,charlie,real,answer
195,everybody,thats,duck,time,alison,st,something,ringo
196,fyouck,cute,pon,started,effect,cloud,strawberry,ta
197,statesboro,ugh,getting,dexter,needed,october,cake,mix
198,reason,hate,shapy,listen,fighter,fest,❤,mountain
