,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
508,magnet,possible,jamie,captain,darius,dinner,apple,chilly
509,shitty,badass,blonde,america,alonzo,everyone,cinnamon,outside
510,co,coat,cedric,“,need,’,glade,fall
511,worker,penny,tyler,apartment,heh,stay,eat,stranger
512,sprayed,lane,sandwich,building,’,cause,ate,sip
513,hose,famous,shot,evacuating,snow,beauty,entire,natalie
514,spent,best,tequila,woohoo,idk,complete,footlong,hang
515,$,take,happened,great,anyways,many,baby,atleast
516,100,princess,1,frekin,ima,closet,sent,24
517,perfume,frog,month,sarcasm,youtube,space,82,hour
518,heated,roomie,ago,shower,3101,realistic,imma,restrepo
519,blanket,stomach,couldnt,skin,princeton,yea,kill,joking
520,duhh,touching,see,dry,st,test,seen,use
521,piss,body,blessed,apply,32808,kinda,sad,shout
522,isnt,leather,outtamymind,lotion,1110,reeaall,tahh,maiinn
523,butterfly,seat,mount,possible,20,nice,tell,hittin
524,emoji,slide,pocahontas,something,100,aww,business,curl
525,last,everywhere,ikr,holly,hughey,give,ahh,getdata
526,tryna,bestfriend,xmas,hill,av,keep,hold,e
527,guess,first,la,weekend,32801,simple,water,un
528,gaby,jr,vega,round,nite,maybe,fuckk,nombre
529,jake,tournament,sober,2,consists,faith,would,de
530,order,turned,lost,seem,lov,restored,hoe,función
531,svu,parent,contact,yeah,ganna,take,school,horrible
532,marathon,dude,vibe,jawn,somewhere,rear,weekend,qué
533,30,service,w,philly,lazy,ended,dunno,data
534,ol,wonder,anyone,dedicated,u,took,job,follow
535,worst,realize,named,song,face,man,dude,mine
536,mood,2008,gim,year,dropping,haha,roof,dropped
537,possible,fighting,fiya,number,listen,raleigh,band,homecoming
538,virtually,retarded,bawl,laptop,insane,coo,dance,shes
539,certain,retarted,upset,ames,workout,spinnin,*,looking
540,partner,conversation,spent,burlington,butt,shut,hype,damn
541,doesent,1,perfume,anymore,kicked,fuck,dancing,thats
542,ctfu,person,warm,south,okaay,george,trying,corny
543,mysister,stop,heated,windsor,page,srry,figure,theme
544,rayel,texting,blanket,say,header,yes,holiday,dique
545,auh,dog,duhh,little,australia,pumpkin,warrant,eating
546,iphone,find,pee,clifton,wine,spice,firework,pj
547,yu,district,driving,street,spinnaker,latte,neighbor,also
548,friday,sam,worse,joke,bay,rn,tonight,called
549,nawl,houston,ever,4,meeting,hello,mnsu,gabe
550,dat,transformer,order,put,boyfrandd,shoot,denver,faggot
551,dead,ppl,svu,smile,ill,ionoo,hairspray,proudly
552,tf,wanting,marathon,face,red,min,directly,smiled
553,✌,taco,30,si,robin,brat,ughh,crazy
554,meu,bell,ol,tried,gourmet,sit,…,till
555,deus,tattoo,spending,different,burger,u,yeah,better
556,como,taylor,meu,impossible,honestly,seen,’,ex
557,eu,nobody,deus,cool,read,party,sure,fresher
558,tava,knowing,como,ai,bet,lame,actually,le
559,com,especially,eu,wanted,yoou,ladder,awake,beat
560,saudades,step,tava,anything,hahah,head,ask,george
561,desse,ig,com,send,told,20,facial,mason
562,marido,ay,saudades,san,cap,pound,hair,patriot
563,spilled,darn,desse,antonio,might,metal,stayed,butt
564,drink,di,marido,dear,mancrush,laser,3,university
565,lady,ka,spilled,blushing,samee,underclassman,different,1
566,swear,nagkukwento,drink,sam,actually,heart,color,ride
567,laundry,hateu,lady,mill,deadd,skip,alone,peddle
568,extra,kwento,900,hall,tired,r,done,heavy
569,hope,ko,sleepy,idk,decide,p,guessing,metle
570,antidote,sayo,saw,basketball,energy,loved,huh,carwant
571,photographer,orientation,bbm,hooked,ahahah,forever,monster,yeahh
572,roger,breath,imessage,gym,andy,wanted,run,tired
573,ressmeyer,phone,dropped,yet,ur,unfortunately,denny,helping
574,rainier,sleep,bottle,choose,damn,tweet,without,goodfellas
575,eat,crazy,whiskey,blasian,aberdeen,annoying,shame,lianna
576,dinner,volleyball,found,crave,happier,childish,yall,teaching
577,9,people,piece,doritos,navy,620,headup,kimmy
578,outside,fucking,glass,healthy,service,morning,somebody,making
579,barely,listen,missed,best,suite,lmfao,whoo,justin
580,6,24000,hope,advice,downtownconvention,female,long,work
581,happen,campus,antidote,drama,hotel,wit,bronco,harder
582,arrived,rudolph,fear,conversation,rough,wud,panther,corrects
583,dramatic,faceless,photographer,wonderful,cold,bat,play,paper
584,maybe,torso,roger,planning,weather,dick,nothing,fault
585,boar,lightskin,ressmeyer,spending,excuse,smh,football,thinking
586,darn,used,rainier,loved,dress,hung,soo,putting
587,cover,doubt,eat,hiking,extremely,trav,feed,image
588,ounce,aint,dinner,tai,lost,longer,cheryl,lying
589,since,following,9,chi,21,ready,goony,hate
590,air,everybody,outside,wth,12,pick,yuh,getting
591,dha,yall,barely,younger,beatles,4yrs,ima,done
592,fit,shoulder,6,18,yesterday,mdl,try,ate
593,hometown,nd,happen,list,fit,carrying,remeber,chicken
594,sure,follow,bout,gordon,marshmallow,ball,size,freaking
595,miss,cutiee,dressed,welcome,mouth,rich,angelina,cold
596,yea,p,man,stop,hey,useless,jennifer,club
597,understand,fb,arrived,purchase,changed,carry,c'mon,cuñada
598,yhu,gamee,another,obviously,noticed,weigh,brad,bro
599,luv,niece,boar,highlight,byout,hey,heard,f
600,trust,nephew,darn,excited,yeah,hide,property,timberlake
601,locked,year,cover,family,bye,behind,mhm,sexy
602,bathroom,ago,ounce,bailey,apple,“,hand,fucker
603,rolling,shitted,since,least,bottom,chris,blood,alpha
604,eye,horrible,air,boy,jean,bosh,december,dog
605,halfway,mccarron,sure,hold,snap,height,nervous,disneyland
606,405,threw,dha,ahahha,dis,weekend,haha,floormates
607,fwy,two,dat,luff,fake,knew,nice,yo
608,boy,interception,offended,though,making,suspended,freaky,sirf
609,fun,cost,hometown,bonfire,wont,saw,expecting,light
610,self,u,yea,sparkler,killing,line,kind,aur
611,strongly,thrown,understand,camera,climbing,bet,chucky,main
612,service,since,yhu,adjust,cuva123,g,scene,tum
613,att,2010,luv,shutter,phoenix,friday,waiting,amp
614,bos,sunday,trust,speed,atleast,wonder,apparently,festival
615,biggest,afternoon,penny,fridge,24,forgive,2chainz,artist
616,sick,tha,approve,believe,hour,full,video,amazing
617,stood,batcave,adorable,two,restrepo,hard,watch,ivan
618,took,dyed,locked,❄,aw,oxygen,comedy,c
619,bottle,part,tryna,parent,selling,catwomen,action,jacob
620,poured,hair,rolling,adore,mccarran,samee,queendom,neighborhood
621,notre,lord,eye,easy,season,actually,care,innovation
622,overrate,without,fell,deelish,university,found,kermit,cookout
623,purdue,bass,halfway,new,verne,recital,frog,meal
624,byu,worth,405,follower,wan,dvd,bday,dinner
625,pitt,headed,fwy,buffalo,naked,looking,happy,cuzzobiffle
626,point,dt,fun,wild,62,something,noticed,luck
627,exactly,blow,self,wing,tempe,watched,album,daddy
628,solid,live,strongly,laying,marketplace,cried,writing,xoxo
629,win,slept,luck,couch,che,loll,inspiration,coffee
630,bed,whole,timber,arm,marie,realised,tired,bean
631,pepper,club,kenmore,vow,hanebrink,told,second,tea
632,spray,chattanooga,joy,dad,yea,university,fuckin,leaf®
633,knife,gas,bos,shopping,pitt,ask,wouldnt,anything
634,carry,ever,j,shoe,stall,ticket,gve,wrapped
635,kid,dry,botch,working,joking,tuesday,password,starting
636,stepping,boredom,unfollowed,unless,hahahahahaha,xx,ohh,yoyou
637,shoe,iwas,reason,uh,getdata,dammit,yt,miami
638,thirty,iknew,notre,everywhere,e,must,straight,mild
639,fast,pull,overrate,dude,un,republican,told,mark
640,foreverr,clothes,purdue,came,nombre,felt,suck,byoyoucket
641,alexis,makeup,byu,chili,de,bring,cock,list
642,sleep,bff,pitt,babe,función,ignoring,hell,lay
643,invited,awhile,exactly,named,horrible,lately,force,lie
644,game,something,solid,david,qué,steven,obese,checking
645,gay,pierce,win,ennis,data,bummed,exercise…is,mental
646,tummy,job,bed,umm,isnt,smiling,form,status
647,n,accidentally,pepper,almost,bordering,thru,abuse,ill
648,idea,pierced,spray,yay,stalking,cold,argument,lmaoo
649,stage,ear,knife,okay,female,least,twitter,aww
650,feelin,switching,carry,quinceañera,♥,view,foreverr,tell
651,lovin,military,thirty,sort,··,cheryl,ice,jasmine
652,3,seen,fast,chain,rollin,dearest,bath,thank
653,nap,yet,foreverr,letter,hatin,broskie,bruutall,frozen
654,skool,boring,mamma,piss,mcdonald,send,kenziei,mango
655,tyouesdayy,prison,bailey,delete,steak,byout,contact,lemonade
656,talking,break,asleep,maybe,bowling,lovve,commercial,cappiemiraye
657,cinema,beaufriend,gaauburn,buying,krispy,yoyou,'come,grill
658,ha,jake454,game,decision,kreme,wahh,snuggle,way
659,stuck,smashburger,guess,ish,write,idk,mommy,random
660,karla,messed,gemini,suck,fb,bother,absence,call
661,hiding,anytime,alexis,funeral,gettcha,honestly,mind,buttercup
662,facebook,txtd,sleep,visit,bored,learn,creates,woman
663,logged,answer,invited,morning,portland,funny,heart,street
664,business,shakeel,bar,bittersweet,gabe,tried,called,freakk
665,laa,fatass,horse,alway,faggot,memory,memory,yuu
666,aight,fat,tummy,road,proudly,bath,milkshake,knoo
667,wont,thank,n,trip,smiled,soaking,omgg,dakota
668,xd,chance,idea,nowhere,buy,gotten,luis,baking
669,listening,research,stage,red,anna,doriano,yovehiraas,abc
670,7,paper,turkey,baron,breakfast,flash,finished,54
671,lil,thesis,countless,cooking,arbor,outside,half,italy
672,wayne,due,pickle,empty,view,definitely,happythankyoumoreplease,risk
673,oo,blood,starving,ho,hoodies,nap,touched,worth
674,idk,cell,reality,hoo,bout,pinball,familytime,6
675,tho,must,took,potomac,doee,machine,outstanding,originalb
676,ugly,low,3,mall,negativity,co,weather,elizabeth
677,scared,fuhh,cowboy,guess,mood,mom,sec,brewery
678,heey,weak,convert,salty,curling,via,east,lonely
679,ur,downtown,randomquestion,reply,sarah,opened,tennessee,yea
680,guitar,seattle,reckless,✌,alexis,father,teaching,caramia
681,thoe,cornish,mouth,strasburg,couch,kk,xbox,gelateria
682,dope,laugh,skool,va,apartment,ela,netflix,tweet
683,stoned,giving,tyouesdayy,prince,ashley,falou,rat,always
684,part,goin,big,charming,furniture,sim,sit,two
685,keep,stayin,poyo,soprano,homestore,mais,pour,incredible
686,calling,boo,really,whatever,helping,tu,drank,lil
687,unknown,till,900th,massenet,goodfellas,não,headshot,si
688,gon,33,title,girlfriend,lianna,avisa,stand,coming
689,answer,yearbook,cinema,bout,dinner,poxa,wake,drive
690,many,addition,stuck,cuff,miranda,exact,faded,thursday
691,showin,imagine,forgot,season,twitter,pissed,zoe,twilight
692,tameka,scv,karla,☔☀⛄,nope,certain,account,4
693,uncle,weird,much,reason,liked,person,awehh,slice
694,said,drive,laa,100,class,surprisingly,idunno,left
695,boyfriend,ex,aight,degree,bf,mam,crazy,idkk
696,awks,house,wont,freezing,heading,ion,felt,basketball
697,tengo,babysitting,xd,⛄,ai,great,sandy,start
698,cold,around,listening,false,lmfo,speech,midsummer,rayburn
699,weather,corner,7,information,shiit,lay,dream,^^
700,ruining,final,lil,niggaa,chinese,roids,arizona,plan
701,outfit,2morrow,wayne,mom,hard,excited,awkkwardd,liverpool
702,paying,10,oo,ordered,harder,mac,flavor,dear
703,easily,table,idk,filet,hrm,leaf,urge,lordd
704,fooled,free,heey,mignon,tritone,mexican,pee,ii
705,true,food,ur,burst,crazy,fave,jealous,fork
706,chick,spicy,guitar,drunk,kno,heartburn,11,palm
707,school,vietnamese,thoe,sore,dont,eat,yr,beach
708,yanno,sandwich,stoned,fox,omgg,nov,moon,garden
709,juicy,518,part,point,da,16,“,home
710,poppin,west,uncle,jus,funni,old,perro,schmitz
711,booth,136,said,walk,corrects,waiting,de,sleepover
712,bail,street,boyfriend,em,paper,christmas,denim,mini
713,leftbank,seeing,awks,yeahh,fault,except,hecho,golf
714,’,rude,tengo,jessica,putting,rather,en,fulgicito
715,grove,customer,easily,clever,goodmorning,goin,casa,congo
716,insight,check,fooled,cab,hayy,le,hace,river
717,listed,ur,true,margarita,buks,juss,tres,commercial
718,mt,worker,yanno,twerkin,tae,crack,decadas,hockey
719,poll,please,kik,sayin,1st,white,cute,player
720,fared,try,maybe,dis,sbjct,running,ohmygod,sings
721,best,considerate,friendly,bootay,bbungad,umm,talked,daughter
722,2012,ps3,spoon,sexy,skn,excuse,fucking,husband
723,presidential,icarly,ice,lady,accounting,af,three,man
724,race,hm,cream,tgif,goodlck,bay,gotten,cake
725,via,chinese,juicy,innovativej,nomon,hang,doubt,cream
726,eventually,either,poppin,kevin,en,'llpayyou,sound,yummy
727,every,ged,booth,g,idufuvgyvgyu,texting,hammer,almost
728,single,done,bail,pretend,esa,respond,dropped,mexico
729,bangin,loser,leftbank,legit,chava,computer,happening,calling
730,honor,failure,annex,changing,mano,belly,everywhere,plus
731,writing,daughter,grove,major,jajajaja,handle,desk,zgoing
732,essay,trash,insight,bored,ate,sip,farted,new
733,dawgg,rt,listed,question,soup,alcohol,reason,bond
734,sounded,devoured,mt,randomly,freaking,leggoo,closed,film
735,marrying,tiramisu,poll,raining,cuñada,wear,beginning,shut
736,nobody,dinner,fared,window,bro,ish,world,theater
737,pissed,bed,best,bitching,f,wednesday,inside,mode
738,set,homee,2012,wee,justin,cousin,joke,daniel
739,snipped,redwood,presidential,ee,timberlake,club,opening,craig
740,xmen,agh,via,ever,fucker,jut,dalek,november
741,origin,nother,eventually,getting,alpha,around,vinegar,tho
742,allergic,state,yet,”,dog,group,stroke,franvan28
743,soon,half,nawl,meantime,pac12,whole,male,celebrating
744,rubbed,mmkay,dawgg,celebrate,cutie,state,orgasm,winter
745,ok,lamo,sounded,honor,yu,break,smell,⛄
746,nothing,halo,marrying,delicious,shuld,hurry,secretly,pavilion
747,else,thick,nobody,tamale,hmu,erika,lor,port
748,clean,skin,allergic,atole,tbh,madre,angry,orange
749,fool,tweet,soon,nuez,roy,trippin,bio,sister
750,east,cringe,4055144896,classy,weak,siren,another,came
751,clinton,jose,picked,askk,morgan,emily,female,2nd
752,wait,aim,smacked,gut,charlie,maynard,supposedly,place
753,omg,dating,ceiling,xxmexicanpridexx,yali,posted,whatever,skating
754,gettin,garrett,sorry,knott,ariel,picture,idc,beth
755,dammit,yea,te,berry,simone,wedding,honestly,andashleia
756,decide,sadly,blew,farm,elmhurst,ring,nip,'re
757,arm,indoors,instagram,trynna,cappiemiraye,cvc,pierced,slow
758,lmaoo,order,following,hair,neighborhood,kickback,damnn,three
759,daja,pizza,currently,sure,laying,waching,yhu,different
760,playin,lay,cutie,ima,bed,auburn,doee,early
761,sad,mine,☺,slut,listening,v,mexican,christmas
762,music,itget,albany,bound,yung,ga,restaurant,co
763,btch,completely,clean,happen,leak,ware,every,spending
764,cheer,weirded,east,acaban,thats,eagle,r,cuddled
765,everytime,stranger,clinton,salvar,cuddling,dunno,texted,babby
766,lecture,line,lmaoo,la,pending,put,freaking,ayee
767,workout,grocery,daja,vida,mak,bid,acting,stp
768,lifestyle,awew,playin,definitivamente,abel,mr,wrong,wat
769,fine,poor,music,aun,hayride,lady,duh,yall
770,ppl,forever,btch,hay,country,close,shes,doin
771,r,fit,cheer,gente,bonding,guess,white,followw
772,doe,'ll,play,buena,freakk,grab,chill,myy
773,hey,tune,bring,en,yuu,gaby,sexually,bestfriiendd
774,really,iron,abbys,el,knoo,jake,yasari,kool
775,humid,sugar,scared,mundo,wendover,tswift,better,age
776,summer,assume,ppl,dispuesta,workoyouts,move,delivery,location
777,whoever,committed,r,ayudar,help,course,hr,ily
778,egged,suicide,glaring,sit,byoutt,frat,shift,anytime
779,others,depression,change,jyoust,layoyoughing,alex,running,update
780,doggy,forgive,earlier,ignore,oyoyout,leading,adrenaline,fly
781,tennis,native,usual,alcohol,loyoyoud,x's3,12,kinda
782,ball,color,‘,smh,cayoyouse,tune,talking,saturday
783,read,joey,smarter,krusty,yoyou,barb,generation,ilyasf
784,book,armadillo,driver,krab,dryoyounk,luck,low,19
785,confusing,forget,hey,selling,byoyout,played,wish,mile
786,movie,liking,summer,wiener,worry,relatively,far,ryan
787,shocked,picture,5,away,hubby,married,terrified,renewed
788,lived,every,others,scared,cinderella,asian,cross,towards
789,brother,post,wearing,yoyoyou,knew,husband,bridge,research
790,half,truly,pair,wyoyoyout,week,sprint,dumb,child
791,boring,understands,skinny,pretending,muchos,lied,thts,diabetes
792,✋,wake,jean,knowing,besos,usual,fear,buy
793,driving,alarm,shower,jealous,para,wouldnt,nail,something
794,wisconsin,started,doggy,shall,gente,thang,tmr,wanted
795,remember,studying,find,target,brasil,anywhere,starting,scratch
796,road,realized,tennis,run,hilarioyous,asked,average,coulda
797,trip,sleeping,ball,thursday,roti,formal,height,stayed
798,without,enough,read,direction,belly,notebook,men,sleeping
799,seems,007,book,album,move,dropped,church,alone
800,pretty,abe,straight,hitting,practicing,bottle,adjust,weird
801,doesnt,lincoln,chillinn,slowly,happen,whiskey,list,exhausted
802,shes,stupid,red,happens,naturally,piece,digas,goodnight
803,yesterday,figure,oak,except,np,glass,eso,twitter
804,thankful,justin,town,fact,hallelujah,foot,tenemos,worried
805,asian,micheal,village,crip,whipped,burger,esperanza,hehe
806,foo,k,apartment,probably,lexi,vampire,glad,tomorrow
807,taste,r,lived,hope,te,diary,love,1111
808,tip,woah,half,live,hurt,rest,mister,least
809,well,havent,light,hopefully,originalb,turn,miss,super
810,customer,talked,✋,hose,brewery,football,awkward,old
811,asks,waah,remember,fix,le,equipment,moment,notebook
812,black,kissed,last,cancelled,lonely,somewhere,realize,icarved
813,learn,’,45,heart,caramia,ugh,yoyour,damaire
814,throw,9,pick,small,gelateria,start,fan,gordon
815,party,nebraska,cleveland,asleep,niggah,rethink,direction,nashalie
816,found,mentioned,road,rocking,threeway,kicked,lsu,colon
817,recently,smiled,trip,quite,ole,past,rapper,033111
818,probably,pocket,without,reading,broke,use,dat,startd
819,older,commercial,seems,period,toe,certificate,jail,cry
820,shopping,pumped,doesnt,matter,provolone,restaurant,minyoute,``
821,bama,niner,shes,awesome,cheese,weekday,ard,$
822,raining,hubby,sweet,special,start,heel,hyoungry,%
823,hardcore,creepy,holiday,thinkk,nigga,toss,clink,dark
824,gotten,myspace,definitely,ok,rayburn,uncle,marked,shade
825,church,gusta,proof,nt,abort,hardwood,required,picture
826,omfg,prolly,unliked,awe,fetal,floor,wear,gosh
827,ate,riff,survived,asked,babe,end,top,yet
828,fuckin,raff,voice,twitter,ii,nose,trunk,talk
829,pizza,point,till,lovelyrainbows23,palm,suppose,jeez,poppin
830,wing,allen,shift,fun,david,scoffi,drive,fam
831,stomach,colt,yesterday,tongue,test,alec,woyould,kulturez
832,badd,past,thankful,n,hidden,everyday,30,sleep
833,job,couple,asian,lip,valley,school,min,dream
834,announces,dorm,foo,piercing,ranch,diee,okay,hahaha
835,everything,ipad,taste,halla,snl,jamillah,word,guess
836,space,lofting,tip,ouch,schmitz,makeover,motionless,seeing
837,shuttle,fast,til,oovoo,shoppin,bueno,listen,aw
838,level,❤,zach,hit,michigan,cleaning,babe,gettin
839,harlem,20,done,deer,ave,ifeel,lloovvee,ratchet
840,worl,nialler,community,highway,shopped,peasant,foodd,awh
841,lenox,plus,service,warmer,sleepover,ahah,consists,actually
842,ave,ughh,customer,outside,singersongwriter,frank,abosolutley,exactly
843,division,f,asks,inside,jennifer,ritter,looked,sweetie
844,texan,tlk,friday,vodka,breakthrough,arena,picture,suck
845,ready,woke,recently,convo,wall,fresh,junior,metro
846,boody,nap,probably,brung,unleash,nd,basic,somewhere
847,bath,little,older,everytime,nerdy,ai,af,youu
848,weird,bit,sister,worhle,wave,gone,heel,eleni
849,dear,downside,money,drool,endorphin,madalynns,tokyo,eggnog
850,jed,probly,shopping,sound,hockey,nail,hehe,message
851,sincerely,broke,far,gay,player,nigel,bought,rt
852,happens,kid,worker,huge,sings,em,disney,niece
853,voice,poo,chili,wonder,foul,assured,alr^^,corp
854,denie,splattered,itz,grow,trouble,wow,lord,bday
855,necessarily,calling,birthdayy,woke,eagle,poured,give,probably
856,still,da,grill,random,wku,hiding,patience,annoyed
857,actively,soda,magic,snap,uhm,fight,strength,knew
858,silence,deliciousness,mike,chatting,month,nigga,may,kendall
859,eloy,chemically,wasnt,⛺,bestie,dubb'ed,dead,biggest
860,flying,safe,chris,mulcs,beayoutifyoul,oovoo,following,giggle
861,rightnow,consume,brown,queen,jumped,expect,k,regret
862,catch,américan,i'da,turned,rushing,heartbroken,stay,mean
863,second,jugo,moist,strip,lovve,lolol,possible,ship
864,~,bien,ear,etf,bri,ahh,grocery,larry
865,~√~,lo,gage,autocorrect,billboard,ride,center,stylinson
866,fucked,admito,bama,*,lion,marry,shaving,scissor
867,q,tuvimos,raining,cold,eating,bed,goin,throw
868,dressed,un,hardcore,pill,folk,atleast,scruffy,learn
869,sht,mal,gotten,gettin,jux,wbu,working,needed
870,wonder,juego,church,yogurtini,snapping,twining,stanford,agang
871,wea,al,sing,beautiful,iphones,chumuckla,stadium,shawty
872,goin,fue,cant,tucked,shout,idea,creativity,empire
873,staying,nuestra,vv,tiger,november,premiere,factory,live
874,pokemon,culpa,kill,jordin,tho,syempre,cheering,lavish
875,taking,ir,hurting,ty,germany,naalala,season,lifestyle
876,piece,la,badd,sara,winefestival,ko,aye,lately
877,done,liguilla,yu,try,epcot,yun,pick,ease
878,yeaa,early,job,sense,exactly,hahaha,jaw,pain
879,girlfriend,dans,space,humor,fir,ang,auntie,grape
880,slice,reminds,shuttle,markso,gotten,ngyon,davorise,hannah
881,woyould,remind,level,glad,september,kakamiss,lmbo,montana
882,least,exactly,harlem,owned,13th,woke,awwe,peoria
883,uhm,stronger,worl,denim,shared,caught,butt,il
884,'young,shake,lenox,doe,niall,buy,dre,realize
885,callin,wow,ave,count,slow,lanyard,dip,lost
886,cock,lot,division,magic,different,credit,alyses,diamond
887,block,power,working,mike,kay,card,walked,busy
888,profile,act,tomorrow,nino,possible,obsessed,puked,collecting
889,joseph,scream,monday,mistake,stress,terrified,wore,stone
890,needle,missed,somehow,megan,terran,alien,95,shine
891,hand,jail,studying,zaydavila,emojis,combo,%,ahah
892,easy,ran,huge,playy,felt,flower,cool,burger
893,become,gma,exam,bestt,allamerican,printed,bobcat,lady
894,state,told,texan,florida,tryout,totally,tie,socon
895,team,died,ready,memorial,kmsl,brianna,28,champ
896,gtfoh,killing,boody,university,father,deserve,dallas,beverage
897,child,mee,bath,ralph,camera,reality,ball,half
898,1st,wichita,stranger,animated,seeing,etf,panic,curled
899,mea,tee,coo,film,steal,autocorrect,attack,s5
900,pie,watchinq,omg,krabby,boost,chance,thinking,whether
901,drake,dance,wear,veggie,awsome,pill,thankful,beer
902,meadery,guest,prada,patty,forget,gettin,sonia,tequila
903,grown,supes,clearly,fam,shitfaced,nightstand,yoda,double
904,receiving,awk,tee,holiday,drunk,consist,hearing,shot
905,allison,bluewave,jed,card,kinda,kleenex,stomach,jack
906,househol,shamee,sincerely,trying,ayee,vitamin,twirl,tip
907,reading,6,happens,pick,stp,medicine,24,quince
908,hobbit,greet,denie,color,wat,candle,quess,hayward
909,aloud,landens,necessarily,scheme,yall,soup,stuff,city
910,thingy,daddy,still,purple,doin,kno,bored,hall
911,ice,kenzie,actively,filmed,followw,rarely,met,mothership
912,cream,raymondbub,silence,ybor,myy,thanks,gee,fuego
913,neveen,cu,waited,extra,bestfriiendd,nino,austin,cantina
914,hug,momma,eloy,daddy,kool,awhh,dmed,dick
915,poop,arm,doesent,ran,ily,jesse,show,dough
916,curl,plot,flying,truck,regular,vocal,cord,ply
917,ask,twist,rightnow,trailer,braid,adrenaline,song,performance
918,facial,releasing,catch,pullin,6pm,egg,thinned,water
919,stayed,fall,second,throw,anytime,rachel,alcohol✨,laugh
920,different,music,~,hopefyoully,niece,sec,aviation,spent
921,color,video,*,worked,pulaski,career,vince,last
922,alone,tear,~√~,dyoumb,budlights,williamsbrice,carter,muahah
923,imma,falls,none,sunday,awe,stadium,airballed,mom
924,kuch,thiss,knew,seriously,cant,photo,winked,asked
925,hota,moviee,jordan,deserve,industrial,supposed,bench,absent
926,hai,sadd,birthday,arcade,nose,poopy,moving,lolol
927,kabhi,taken,tweeted,funn,pierced,touch,nyc,pandora
928,khushi,emotional,q,swear,sometime,thermostat,area,jamming
929,gham,roller,sht,olive,jb,son,big,lion
930,bollywood,coaster,wonder,garden,wbu,carton,part,started
931,rotc,knee,wea,stare,preferably,headache,charm,hahahha
932,ahh,surgery,anybodys,ion,noodle,either,meadowlands,basket
933,apparently,11,staying,junior,renewed,favorite,craving,case
934,texted,0,instead,knew,diabetes,met,dill,lololol
935,snapchatted,change,watch,take,kevin,ould,pickle,str8acting
936,chest,meet,breaking,gave,hart,universe,chip,redrock
937,felt,☺,pokemon,tv,everyday,merely,taking,technically
938,expecting,midnight,sunday,invited,grandma,billion,public,hahaa
939,catching,goda,heard,laugh,texas,cell,stall,rindu
940,moving,ride,hahah,tht,eu,comfy,blasting,lahh
941,office,trust,supposed,short,n,room,dubstep,tu
942,kinda,issue,girlfriend,',tenho,semester,midnight,aahahahaa
943,sa,highly,uhm,8,nada,interview,premiere,eighty
944,walking,event,'young,honey,ahha,zumiez,mr,quida
945,spending,earlier,callin,boo,enfim,seattle,lobo,belong
946,candle,uncomfortable,cock,child,aqui,winter,wobble,makeup
947,latte,cambiare,block,online,sao,pant,fancy,professionally
948,philosophy,de,profile,shoppingshopping,6,seeing,brought,drunk
949,homework,chip,joseph,organism,horas,word,external,hookup
950,trying,porque,needle,describe,menos,book,monitor,central
951,mundo,eso,hand,fiction,entao,series,hackathon,avenue
952,latino,llamdas,expected,understood,chmar,dye,explain,oyster
953,republican,limitadas,homecoming,supposedly,dm,red,mood,shoutout
954,per,chingo,easy,bottle,coolest,lifetime,overprotective,eeww
955,se,todo,become,deep,weston,grandpopie,cuase,mint
956,conservative,se,state,start,dancing,till,ended,bieber
957,brainwashed,como,unknown,lokos,hobbit,henna,bed,jarrod
958,clothing,diablos,team,stomach,sport,hand,rolled,polson
959,victoria,cancelarlo,gtfoh,tf,mannequin,wateva,around,shoppes
960,secret,grind,1st,girlies,jammin,agent,g,chino
961,disappears,crashing,mea,greek,812,leaving,^^,hill
962,hoodies,humiliated,apple,brr,spread,14th,saturday,taken
963,wth,staring,pie,mexican,seems,til,lay,fizz
964,alreaddyy,air,drake,stick,reciting,thanksgiving,relax,maybe
965,amazing,force,meadery,dreaming,lunch,ugly,50,yoyoyou
966,show,hated,2k,rylee,fcking,spend,yawn,r
967,ta,pour,follower,cafe,baking,adv,castle,yoyoyour
968,basement,hoping,intrigued,campesino,r,relaxing,shore,neitherr
969,graveyard,october,family,gloating,instagram,damnn,toyota,couldent
970,tavern,course,allison,waste,click,smell,antenna,without
971,vomiting,continues,househol,wasted,»,ta,route,lot
972,missing,attention,reading,freak,wifi,bit,keep,ah
973,history,favorite,hobbit,box,watched,happens,looking,gurl
974,c,2,aloud,❄❄⛄,skyfall,babyy,behind,turned
975,test,label,ate,brain,james,babysit,bond,eater
976,presentation,pusieron,thingy,perfectly,recomend,soon,ssj4,seriously
977,past,peliar,gb,fine,shasta,staying,perfected,’
978,changed,en,bag,fart,17,bro,destroy,photography
979,forgotten,el,sexy,sometimes,redwood,team,small,habit
980,erased,cuarto,tongue,bday,14,1,universe,may
981,edite,con,licking,taller,2nd,championship,bey,bother
982,accepted,esos,everybody,hand,thug,chuy,proper,holly
983,shirt,polvos,curl,portable,shade,salsa,english,molly
984,stylist,niños,imma,button,hater,babe,cunny,part
985,dye,cuaryto,kuch,bright,grew,talked,wholee,aryana
986,type,esta,hota,orange,inch,almost,youre,skyla
987,toughest,casi,hai,stoked,ironic,ou,leslie,1ary1loveone
988,nerve,blando,kabhi,domain,sitting,nga,shall,fun
989,stfu,towel,khushi,downtown,bdubs,eh,call,adventure
990,sneaking,huh,gham,heater,twolves,ikaw,taylor,bacon
